payment_id,customer_id,subscription_id,mandate_id,amount_inr,currency,failure_code,root_cause,mandate_status,attempt_number,previous_successes,previous_failures,created_at
pay_test_69120fdba6d0,cust_ba99206d9f,sub_e4b4452c83,mandate_d760e3c1d0,9999,INR,bank_timeout,BANK_TIMEOUT,active,1,0,0,2026-07-26T11:00:46.031692
pay_test_6bd3df77f02e,cust_4fd50e07da,sub_a6eada138e,mandate_79fb092985,499,INR,low_balance,BALANCE,active,3,2,4,2026-05-30T22:44:46.031712
pay_test_0e37a892a68f,cust_51f16efe54,sub_818e58a5ae,mandate_30723daef4,1499,INR,revoked_mandate,REVOKED,revoked,2,7,3,2026-08-12T10:15:46.031742
pay_test_4a11b40c1902,cust_bed5cfaa0a,sub_d7cbf1b614,mandate_02c91e8342,99,INR,expired_mandate,EXPIRED_MANDATE,expired,1,13,3,2026-08-17T01:11:46.031766
pay_test_4d2883d0bda9,cust_fda1313ff3,sub_3dfaae945a,mandate_d8cac1f962,499,INR,mandate_expired,EXPIRED_MANDATE,expired,4,7,1,2026-08-07T00:46:46.031786
pay_test_3f98626d4e92,cust_7ef4b3f36b,sub_8064ec0b6e,mandate_711bdc33f6,2499,INR,insufficient_balance,BALANCE,active,1,2,3,2026-08-17T17:23:46.031807
pay_test_dfe9140f1989,cust_416442a728,sub_f9d5e4acf2,mandate_823bee9adb,1499,INR,bank_timeout,BANK_TIMEOUT,active,4,7,1,2026-06-24T07:02:46.031854
pay_test_020c78431994,cust_64f00e0369,sub_1acc0621ff,mandate_1d182b86a5,99,INR,mandate_expired,EXPIRED_MANDATE,expired,4,5,3,2026-07-21T23:39:46.031890
pay_test_430532bdad00,cust_b0f333c2a3,sub_f3d7a3ed5e,mandate_f156b8178a,799,INR,expired_mandate,EXPIRED_MANDATE,expired,2,4,1,2026-08-16T19:10:46.031914
pay_test_d684a5ab68a5,cust_6e4e7bae32,sub_b0cf890924,mandate_45f10c1c53,4999,INR,revoked_mandate,REVOKED,revoked,4,1,0,2026-06-20T21:47:46.031935
pay_test_5840d59aa6a8,cust_bf307cdc95,sub_7e8b06aa05,mandate_86fe94cdc8,4999,INR,insufficient_balance,BALANCE,active,1,5,0,2026-05-30T06:32:46.031955
pay_test_925aa2e108cf,cust_583f633fad,sub_9f284ac7ed,mandate_2d9aa4c4e0,99,INR,insufficient_balance,BALANCE,active,1,18,4,2026-07-01T16:20:46.031975
pay_test_a2ebb56baf59,cust_290a6d8c7d,sub_bea4db2c59,mandate_b953221310,9999,INR,network_timeout,BANK_TIMEOUT,active,3,8,1,2026-07-25T05:32:46.031995
pay_test_8f536886e9a7,cust_5e9ee77623,sub_873ecfe8e2,mandate_037adb8f1c,199,INR,low_balance,BALANCE,active,1,14,2,2026-06-26T18:21:46.032015
pay_test_adcc13d27a0f,cust_a89e40a3ff,sub_2105b68514,mandate_b41110527b,2499,INR,limit_exceeded,LIMIT_EXCEEDED,active,3,17,1,2026-08-08T02:01:46.032034
pay_test_bd0f1727aa3f,cust_1f265ee7fc,sub_b80e8f9e14,mandate_38ba0e9f92,299,INR,insufficient_balance,BALANCE,active,4,11,2,2026-06-15T15:38:46.032066
pay_test_fa9fa51a0bcb,cust_bdc3e29ca7,sub_0b35f299a5,mandate_7ab7f83e67,9999,INR,bank_timeout,BANK_TIMEOUT,active,1,17,2,2026-08-07T05:50:46.032100
pay_test_3b9245ffcf74,cust_9931d7a572,sub_0459071b30,mandate_48015aa2d9,4999,INR,limit_exceeded,LIMIT_EXCEEDED,active,2,8,2,2026-07-12T07:14:46.032123
pay_test_ff12f060c74b,cust_02a4cddbb8,sub_b585ffa0cd,mandate_ba2ed0bf22,799,INR,network_timeout,BANK_TIMEOUT,active,1,16,3,2026-08-12T17:30:46.032143
pay_test_1364f876a986,cust_b81fd899c9,sub_74d8a5d75d,mandate_7935f2b8bb,299,INR,bank_timeout,BANK_TIMEOUT,active,3,0,2,2026-08-03T14:29:46.032163
pay_test_7e96072d5799,cust_415d1268b5,sub_83db7c5bf2,mandate_bfec5ef30f,199,INR,network_timeout,BANK_TIMEOUT,active,1,17,0,2026-05-28T09:23:46.032182
pay_test_0ddfd9076b31,cust_15c1246bf3,sub_1dee403f52,mandate_a981beb23e,299,INR,low_balance,BALANCE,active,4,18,4,2026-08-08T12:38:46.032202
pay_test_b1b6f5772e15,cust_1bff92131f,sub_a09599b020,mandate_a6017b2289,9999,INR,mandate_expired,EXPIRED_MANDATE,expired,2,11,1,2026-05-31T10:35:46.032223
pay_test_7f1f3d67a3bf,cust_375a37947f,sub_0a6b1e75da,mandate_467da5c18e,299,INR,network_timeout,BANK_TIMEOUT,active,2,19,5,2026-08-04T08:01:46.032243
pay_test_9c5d123f52f3,cust_a5dd6d6f6b,sub_6aeb17aea0,mandate_6fe652378d,9999,INR,mandate_expired,EXPIRED_MANDATE,expired,2,10,3,2026-07-21T08:07:46.032264
pay_test_576b7ae80c7e,cust_636b605bc5,sub_07f23579be,mandate_25b0e8efe0,499,INR,network_timeout,BANK_TIMEOUT,active,2,1,3,2026-06-27T02:38:46.032284
pay_test_ced2612bb78a,cust_49313f68cd,sub_4622668d7d,mandate_9b3d4ba64b,9999,INR,bank_timeout,BANK_TIMEOUT,active,2,7,0,2026-07-04T03:40:46.032315
pay_test_62559ac1c2db,cust_5ce01a6b0c,sub_b3ec2aabc9,mandate_24796bfa9b,2499,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,4,11,5,2026-05-29T20:36:46.032338
pay_test_d2e12ee76464,cust_275cc64b38,sub_712ef0c8f0,mandate_a7b0eb6276,4999,INR,limit_exceeded,LIMIT_EXCEEDED,active,3,8,1,2026-08-20T10:19:46.032369
pay_test_f398958a08d4,cust_329db6fa9f,sub_170c195755,mandate_a0608913b8,2499,INR,expired_mandate,EXPIRED_MANDATE,expired,1,13,4,2026-07-05T19:45:46.032392
pay_test_f257c729d675,cust_3d4872140b,sub_a10b86a14d,mandate_c32837f968,2499,INR,low_balance,BALANCE,active,2,0,4,2026-07-09T00:53:46.032412
pay_test_4b471ced9f64,cust_97fe5435f5,sub_4002b62cfc,mandate_b5c155acef,9999,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,1,19,2,2026-07-16T21:38:46.032432
pay_test_b822834d5afd,cust_061b8f86bb,sub_ec52223b8e,mandate_30f0065bd5,799,INR,network_timeout,BANK_TIMEOUT,active,2,12,5,2026-07-31T00:15:46.032452
pay_test_64418a8bfa1f,cust_aacc65a98d,sub_610a5df2ca,mandate_a42e999ad0,799,INR,limit_exceeded,LIMIT_EXCEEDED,active,4,19,4,2026-06-15T13:38:46.032471
pay_test_1556f4d31b39,cust_fb43cf2b6b,sub_05f5ffed45,mandate_099461dd69,9999,INR,low_balance,BALANCE,active,3,18,4,2026-06-25T23:29:46.032491
pay_test_4d4b910ae794,cust_98db781661,sub_f03abcd087,mandate_e7a9cc603a,199,INR,network_timeout,BANK_TIMEOUT,active,3,5,5,2026-06-19T16:17:46.032512
pay_test_dd2ba9d664ce,cust_515cab2262,sub_a2fee278c0,mandate_12d4531ce3,799,INR,bank_timeout,BANK_TIMEOUT,active,2,7,5,2026-07-30T09:56:46.032543
pay_test_c83d772ea581,cust_ca554b998f,sub_ebd1ffb1c2,mandate_e575372b5a,1999,INR,low_balance,BALANCE,active,4,19,0,2026-06-04T19:45:46.032566
pay_test_ba276c7c0090,cust_9af17f2a2f,sub_2239194684,mandate_dacc07f74a,499,INR,network_timeout,BANK_TIMEOUT,active,2,15,3,2026-06-01T15:57:46.032586
pay_test_5fb5d948bf69,cust_7c37c01a25,sub_3b05d45839,mandate_8a54b57ff6,299,INR,limit_exceeded,LIMIT_EXCEEDED,active,4,13,1,2026-08-17T20:42:46.032606
pay_test_f9ea72ce59a1,cust_78f782a45a,sub_23a7e32e6e,mandate_63dd0cc26d,1999,INR,limit_exceeded,LIMIT_EXCEEDED,active,3,14,1,2026-06-28T18:05:46.032627
pay_test_a7eeea7a563c,cust_6b315b6fd4,sub_1cedfa5ac6,mandate_033a3060bd,299,INR,network_timeout,BANK_TIMEOUT,active,4,17,3,2026-06-28T05:09:46.032659
pay_test_6d5e47ad65b6,cust_59cc5f4ef5,sub_3a2c23bff0,mandate_d597788c05,9999,INR,low_balance,BALANCE,active,2,16,3,2026-07-19T23:53:46.032683
pay_test_e67aef65fbaf,cust_60f55872c0,sub_786efafa6f,mandate_437de351dd,999,INR,bank_timeout,BANK_TIMEOUT,active,1,8,2,2026-08-07T09:43:46.032704
pay_test_6cd86dce2df5,cust_a4ae0f4566,sub_a5b229e2c9,mandate_17f7e01bf7,1499,INR,mandate_expired,EXPIRED_MANDATE,expired,4,6,0,2026-07-12T20:28:46.032724
pay_test_5014703fd464,cust_1a98d58b18,sub_83059d003b,mandate_259d530e19,4999,INR,mandate_expired,EXPIRED_MANDATE,expired,1,13,3,2026-06-12T01:27:46.032743
pay_test_ffebf8844101,cust_519a942fb8,sub_b0bfdddfdc,mandate_b6eddc47f4,1499,INR,low_balance,BALANCE,active,2,9,3,2026-06-23T06:40:46.032775
pay_test_48e58ed2b58d,cust_ba1f2f11b7,sub_724fe6c763,mandate_a0f65964f1,9999,INR,mandate_expired,EXPIRED_MANDATE,expired,4,12,2,2026-08-02T22:59:46.032798
pay_test_83290cc05696,cust_af8af1cce2,sub_4534cb1b17,mandate_74cbacfe6a,4999,INR,insufficient_balance,BALANCE,active,1,12,4,2026-08-13T17:30:46.032817
pay_test_81c8ab1aae73,cust_c4e772ba7d,sub_2290d10ccb,mandate_be91416984,799,INR,low_balance,BALANCE,active,4,5,0,2026-07-14T07:28:46.032837
pay_test_1bcfa302f8a7,cust_ff9fda97ac,sub_9a0101cd06,mandate_9f9b329627,799,INR,expired_mandate,EXPIRED_MANDATE,expired,1,8,3,2026-06-25T13:10:46.032856
pay_test_a8e0f7eefe9a,cust_1f1e2fe4d7,sub_de10a0cc8f,mandate_ec5aaf94cd,199,INR,revoked_mandate,REVOKED,revoked,1,7,5,2026-08-21T06:45:46.032876
pay_test_502e5fe4d3a3,cust_cecf42164a,sub_f550a6c628,mandate_31cd1ec3fe,1999,INR,bank_timeout,BANK_TIMEOUT,active,1,7,1,2026-06-13T07:28:46.032896
pay_test_ad23ef103afe,cust_adea57a43b,sub_72ae47b765,mandate_91483154c7,4999,INR,network_timeout,BANK_TIMEOUT,active,1,5,4,2026-08-04T04:51:46.032927
pay_test_cff1c73d952a,cust_d0695d4c75,sub_46a4563ebc,mandate_8c08a89d22,1499,INR,network_timeout,BANK_TIMEOUT,active,4,18,5,2026-07-30T11:20:46.032950
pay_test_0591bc674d9b,cust_4c916f294c,sub_4b9baace39,mandate_6969396b96,799,INR,bank_timeout,BANK_TIMEOUT,active,1,3,5,2026-06-13T12:35:46.032972
pay_test_97d0dacbce6d,cust_0ce8f35ece,sub_b83e2cbd6d,mandate_6ba7aa423e,9999,INR,revoked_mandate,REVOKED,revoked,3,2,4,2026-08-23T00:05:46.033003
pay_test_a98c7975c584,cust_57cf8a4dd7,sub_4963289e2f,mandate_2e5f184d23,1999,INR,revoked_mandate,REVOKED,revoked,2,11,5,2026-06-30T08:11:46.033041
pay_test_302e7c9b9776,cust_58a0adefe6,sub_33c31b28b7,mandate_a60cb882f4,1999,INR,revoked_mandate,REVOKED,revoked,4,19,4,2026-06-29T14:20:46.033064
pay_test_07914e6d978f,cust_5815c477cd,sub_98b1d2de18,mandate_585870375d,1999,INR,insufficient_balance,BALANCE,active,2,2,2,2026-06-25T19:18:46.033084
pay_test_43dec906dfc6,cust_ca330e783a,sub_23d0706a3e,mandate_281ca3d3ff,999,INR,network_timeout,BANK_TIMEOUT,active,2,0,3,2026-06-23T07:35:46.033103
pay_test_71824c84dedf,cust_99aae2db52,sub_aec9df9520,mandate_1d51505eea,799,INR,network_timeout,BANK_TIMEOUT,active,1,8,4,2026-06-19T07:52:46.033123
pay_test_6abf798929e3,cust_2ccbe14dd0,sub_2d9ad0aba7,mandate_69bc7e490f,499,INR,low_balance,BALANCE,active,4,15,4,2026-06-02T15:26:46.033143
pay_test_fb4b5f894266,cust_b449cac894,sub_f44252e8e5,mandate_4dfbd438f0,499,INR,mandate_expired,EXPIRED_MANDATE,expired,4,2,2,2026-05-28T06:38:46.033162
pay_test_2f938e614fcc,cust_215cedfa87,sub_7a997ebb96,mandate_1d72c240b3,2499,INR,network_timeout,BANK_TIMEOUT,active,3,15,4,2026-06-30T14:22:46.033181
pay_test_c903dac3d042,cust_a0a8e58920,sub_c535de68e5,mandate_dab2c7fe11,799,INR,expired_mandate,EXPIRED_MANDATE,expired,2,8,2,2026-08-08T14:45:46.033200
pay_test_d60817266c2d,cust_5242eee9c6,sub_eb3cc0243d,mandate_c0248be847,1999,INR,mandate_expired,EXPIRED_MANDATE,expired,3,6,1,2026-06-09T21:19:46.033239
pay_test_7bb78a47c7fb,cust_aca009278e,sub_a5e9a63543,mandate_c2853ce469,499,INR,insufficient_balance,BALANCE,active,3,6,2,2026-08-02T04:57:46.033262
pay_test_46a6d24f885f,cust_f607e52139,sub_113096f5e2,mandate_daa1ed0812,99,INR,bank_timeout,BANK_TIMEOUT,active,3,8,0,2026-05-27T09:17:46.033281
pay_test_6976273d8a0e,cust_29e61e59b4,sub_4d73425731,mandate_25d1462e19,4999,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,3,3,0,2026-06-24T22:29:46.033301
pay_test_27efd24d6582,cust_815309e792,sub_725bfcbbbc,mandate_fbf6715624,199,INR,mandate_expired,EXPIRED_MANDATE,expired,1,8,3,2026-07-03T22:53:46.033321
pay_test_a405afddd903,cust_055dfe87b4,sub_def9aee47e,mandate_ce22490f9f,4999,INR,bank_timeout,BANK_TIMEOUT,active,3,4,1,2026-08-14T06:50:46.033341
pay_test_791b46deb6e3,cust_0b75b7a85b,sub_836f973653,mandate_4a85cf5ed6,4999,INR,network_timeout,BANK_TIMEOUT,active,2,19,4,2026-06-19T01:29:46.033361
pay_test_1aec36083d70,cust_90ff5e45b1,sub_618a14f172,mandate_3ba9fe6e01,799,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,1,18,3,2026-06-06T14:51:46.033381
pay_test_26990206c89e,cust_87edd69ce1,sub_9d115177a5,mandate_1cb7687991,799,INR,limit_exceeded,LIMIT_EXCEEDED,active,1,20,1,2026-08-04T06:46:46.033400
pay_test_dcb87879027c,cust_336a004088,sub_6f1c9a34dd,mandate_74a6704daa,1999,INR,bank_timeout,BANK_TIMEOUT,active,4,0,3,2026-07-18T12:43:46.033420
pay_test_5f2be6d8064b,cust_41b0c02669,sub_63baef3ece,mandate_cd3864bff1,9999,INR,low_balance,BALANCE,active,2,14,0,2026-07-21T17:20:46.033450
pay_test_143c9ec451e9,cust_a651417a16,sub_cc47c29040,mandate_dcfdf1bd46,2499,INR,bank_timeout,BANK_TIMEOUT,active,2,13,0,2026-06-03T08:59:46.033473
pay_test_4afbae960689,cust_0e5a054e86,sub_1ec5a0b379,mandate_dcd643b027,299,INR,insufficient_balance,BALANCE,active,3,2,0,2026-06-08T14:05:46.033493
pay_test_0e6ab6a33f83,cust_8260879f2c,sub_2be8cfc82d,mandate_715020266a,1999,INR,network_timeout,BANK_TIMEOUT,active,3,14,0,2026-05-27T01:40:46.033523
pay_test_20176c79a1d5,cust_5cbbc62332,sub_401efec8cb,mandate_7646cfb39b,4999,INR,revoked_mandate,REVOKED,revoked,1,14,0,2026-06-29T14:37:46.033546
pay_test_c4cb1d3a7c96,cust_b1595d02fd,sub_c5d25118b1,mandate_0f2ba93819,9999,INR,bank_timeout,BANK_TIMEOUT,active,1,2,1,2026-05-30T05:21:46.033582
pay_test_4939cf2ad725,cust_8fe7864f72,sub_9de0459c35,mandate_00626580e1,9999,INR,insufficient_balance,BALANCE,active,4,15,4,2026-07-20T08:20:46.033603
pay_test_48400fd89b60,cust_a4fa0da435,sub_a288bd8203,mandate_7e324b37ac,999,INR,expired_mandate,EXPIRED_MANDATE,expired,4,2,3,2026-07-13T03:15:46.033625
pay_test_142b2b24ede6,cust_e32df58f2b,sub_d0fa352908,mandate_8ddcc7906d,1999,INR,insufficient_balance,BALANCE,active,3,10,3,2026-06-01T01:05:46.033645
pay_test_f842dd00d06d,cust_71d178b4bb,sub_bf75fb8c46,mandate_d8ff19185a,999,INR,bank_timeout,BANK_TIMEOUT,active,3,14,0,2026-07-14T10:08:46.033666
pay_test_a0483640ddb2,cust_d0a61413ca,sub_8b4e310b08,mandate_71937c29d6,1499,INR,mandate_expired,EXPIRED_MANDATE,expired,1,17,3,2026-07-30T21:34:46.033701
pay_test_d072dc9dd284,cust_4ed2a39ddc,sub_071a53ec63,mandate_1f720d0fdf,99,INR,network_timeout,BANK_TIMEOUT,active,2,20,3,2026-07-20T20:49:46.033729
pay_test_bfb4bbe5f81e,cust_ad9a15dbe3,sub_614cf02e88,mandate_dfc31b65a6,99,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,2,15,0,2026-05-26T08:38:46.033751
pay_test_37653efd2db2,cust_57f9ba9daa,sub_ca30984178,mandate_286a9712d1,199,INR,network_timeout,BANK_TIMEOUT,active,4,2,1,2026-08-08T17:04:46.033773
pay_test_4159b583f668,cust_cab6829c4c,sub_e498632bc7,mandate_8139b890d0,799,INR,low_balance,BALANCE,active,4,16,5,2026-06-23T22:42:46.033795
pay_test_8f2c8426f9dd,cust_4cdce3cfb3,sub_17fc81178b,mandate_63b4ec4b95,4999,INR,mandate_revoked,REVOKED,revoked,2,12,1,2026-08-16T05:08:46.033817
pay_test_2579057ce6cf,cust_8701c07074,sub_f4fd6a3956,mandate_f3b9132746,799,INR,network_timeout,BANK_TIMEOUT,active,1,10,4,2026-07-18T14:38:46.033865
pay_test_e7dbbe4f44b2,cust_e9457ed31f,sub_f26b9245f7,mandate_0d018f3ddc,2499,INR,network_timeout,BANK_TIMEOUT,active,4,4,3,2026-07-11T03:22:46.033892
pay_test_cea86a01795b,cust_fa5666660a,sub_127c2439a7,mandate_d0e768d512,499,INR,network_timeout,BANK_TIMEOUT,active,2,14,2,2026-06-12T01:43:46.033913
pay_test_c6859171d979,cust_bb2eff22f9,sub_74f15d5319,mandate_28bcf18620,1999,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,4,1,2,2026-07-05T16:07:46.033935
pay_test_008e936fbb77,cust_cb246694a1,sub_29dea3b507,mandate_655bfcd38b,299,INR,bank_timeout,BANK_TIMEOUT,active,3,15,0,2026-08-11T23:51:46.033969
pay_test_9bd9937f6cc3,cust_c088ffb210,sub_d85ec11e56,mandate_94214e3671,299,INR,revoked_mandate,REVOKED,revoked,4,0,5,2026-06-02T09:53:46.033994
pay_test_5051854f78c1,cust_bab9b8bf1b,sub_b73b95fc4d,mandate_6b2fbd1b92,1499,INR,revoked_mandate,REVOKED,revoked,1,10,4,2026-07-12T16:03:46.034016
pay_test_0c20ec889764,cust_fe40b3dca7,sub_74286d9d38,mandate_40a854c5c1,1999,INR,revoked_mandate,REVOKED,revoked,1,20,5,2026-06-06T11:42:46.034038
pay_test_9ee60ee55e03,cust_98f6f21651,sub_c143cbcb56,mandate_819ad0c4ca,199,INR,network_timeout,BANK_TIMEOUT,active,4,7,5,2026-08-11T17:12:46.034058
pay_test_a8f2062228e5,cust_202798991d,sub_7a96b32884,mandate_4f2b448dfc,799,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,1,5,5,2026-08-19T03:07:46.034080
pay_test_88555ec4a89d,cust_ec757f8df4,sub_0ff603410a,mandate_d8f9e4009b,299,INR,low_balance,BALANCE,active,2,11,3,2026-06-18T00:21:46.034100
pay_test_6f4dbb67f422,cust_b2f2a6f29f,sub_f83ca011d1,mandate_43eb9093dd,199,INR,bank_timeout,BANK_TIMEOUT,active,4,5,1,2026-06-05T16:42:46.034121
pay_test_4417a52428a2,cust_6437eccf8a,sub_50f5d9f4e6,mandate_3317d5b3f1,9999,INR,mandate_revoked,REVOKED,revoked,3,7,3,2026-06-27T05:15:46.034155
pay_test_fcde0654829a,cust_591bbcaa9a,sub_1417093151,mandate_d09ccc28ee,2499,INR,low_balance,BALANCE,active,2,9,5,2026-08-14T23:35:46.034180
pay_test_8daadaeeb75a,cust_17e13788ac,sub_e82583a48a,mandate_8f5b7196e6,799,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,4,20,3,2026-07-17T07:33:46.034213
pay_test_f97e908e639a,cust_c05d45e4b9,sub_484ceeb56c,mandate_3eac79ba10,4999,INR,limit_exceeded,LIMIT_EXCEEDED,active,3,7,3,2026-06-12T04:13:46.034239
pay_test_01eaf8c5a790,cust_5477ae006c,sub_8b90aae99c,mandate_8f3402306d,4999,INR,low_balance,BALANCE,active,1,8,0,2026-06-07T14:26:46.034273
pay_test_3344ed789bcb,cust_1c11869adb,sub_4eaf697097,mandate_00460e5e00,999,INR,network_timeout,BANK_TIMEOUT,active,2,7,4,2026-06-04T07:18:46.034298
pay_test_b0b62ef4d9f2,cust_0df3be05aa,sub_a68c105ff4,mandate_b41e90777b,9999,INR,insufficient_balance,BALANCE,active,1,20,0,2026-07-15T23:55:46.034320
pay_test_9e3a6bbea489,cust_d5afecfcd7,sub_e948b94757,mandate_055afdf381,999,INR,bank_timeout,BANK_TIMEOUT,active,4,2,2,2026-08-02T07:49:46.034342
pay_test_19d9103ac145,cust_ca8f50b94f,sub_3a98ee4e84,mandate_3a852aaaf2,799,INR,network_timeout,BANK_TIMEOUT,active,2,16,4,2026-07-22T22:06:46.034364
pay_test_7725f9b8162e,cust_5200f1c8f5,sub_6eb65fcb9f,mandate_e5c06a2f82,199,INR,low_balance,BALANCE,active,2,3,3,2026-07-26T16:11:46.034386
pay_test_47838e0c14c3,cust_a0a1665b30,sub_bedefbbfa7,mandate_ef5c489c83,199,INR,network_timeout,BANK_TIMEOUT,active,4,17,2,2026-08-23T05:23:46.034407
pay_test_7de5ea6155e3,cust_ede927c0da,sub_5ffdc9577c,mandate_baaed35684,1499,INR,low_balance,BALANCE,active,3,8,4,2026-08-10T16:43:46.034429
pay_test_eea5372be5d9,cust_9ec975e0c5,sub_413567e5db,mandate_9c778744f1,9999,INR,revoked_mandate,REVOKED,revoked,1,19,1,2026-06-03T22:59:46.034462
pay_test_e12790e781a4,cust_bec91eb7d2,sub_36c0ad1f03,mandate_10945e0f38,99,INR,network_timeout,BANK_TIMEOUT,active,1,3,1,2026-07-16T22:50:46.034498
pay_test_89df1ea017b4,cust_2ab6360dd2,sub_540ea2d5cf,mandate_03144cb516,999,INR,insufficient_balance,BALANCE,active,4,12,3,2026-06-09T14:11:46.034523
pay_test_ee7f674997d4,cust_3918e8f13d,sub_5189f5a94b,mandate_e30af61795,1999,INR,low_balance,BALANCE,active,4,20,0,2026-07-20T12:13:46.034545
pay_test_d4f3c56c0160,cust_4577d2be54,sub_34f95bbedf,mandate_6bc4ebe68a,999,INR,expired_mandate,EXPIRED_MANDATE,expired,1,14,1,2026-05-29T02:23:46.034566
pay_test_e5f270a1dda3,cust_04ac6d94df,sub_f9f2ddcf12,mandate_ef001838cc,799,INR,mandate_limit_exceeded,LIMIT_EXCEEDED,active,2,1,3,2026-08-08T23:52:46.034587
pay_test_7cb4bca57008,cust_e7bbbc6ff7,sub_0679d956c7,mandate_f3a3bfe4dd,499,INR,bank_timeout,BANK_TIMEOUT,active,2,1,2,2026-06-13T07:53:46.034609
pay_test_1eb710250b06,cust_a4b5820809,sub_57e33346ef,mandate_dd2a1e14a8,499,INR,bank_timeout,BANK_TIMEOUT,active,3,18,1,2026-08-05T18:57:46.034631
